****************************************
** Coordinates                        **
****************************************
*******************************
** Non-Development Zones     **
*******************************
C     241, 459693.00, 302208.00
C     242, 460510.00, 302703.00
C     243, 460867.00, 302592.00
C     244, 461349.00, 303381.00
C     245, 461412.00, 303825.00
C     246, 461504.00, 304455.00
C     247, 461476.00, 304054.00
C     248, 460117.00, 302043.00
C     249, 459598.00, 301739.00
C     250, 459296.00, 301658.00
C     251, 460938.00, 302236.00
C     252, 461420.00, 302800.00
C     253, 462164.00, 304540.00
C     254, 460763.00, 301660.00
C     255, 459544.00, 301196.00
C     256, 461084.00, 302257.00
C     257, 460123.00, 301200.00
C     258, 462338.00, 303950.00
C     259, 462374.00, 303426.00
C     260, 462410.00, 302965.00
C     261, 459500.00, 300723.00
C     262, 460702.00, 301052.00
C     263, 460393.00, 300740.00
C     301, 454051.00, 303675.00
C     302, 457524.00, 303985.00
C     303, 457445.00, 303625.00
C     304, 457176.00, 303998.00
C     305, 457107.00, 304397.00
C     306, 457142.00, 303738.00
C     307, 456587.00, 304002.00
C     308, 457671.00, 302684.00
C     309, 457397.00, 302920.00
C     310, 457029.00, 302879.00
C     311, 458374.00, 302166.00
C     312, 456572.00, 304433.00
C     313, 456529.00, 303533.00
C     314, 457087.00, 302282.00
C     315, 458375.00, 301907.00
C     316, 457343.00, 301395.00
C     317, 458763.00, 301930.00
C     318, 458720.00, 301198.00
C     319, 456556.00, 302637.00
C     320, 456089.00, 304431.00
C     321, 458291.00, 301499.00
C     322, 456018.00, 303640.00
C     323, 457834.00, 301034.00
C     324, 458147.00, 300767.00
C     325, 458616.00, 300574.00
C     326, 455229.00, 303334.00
C     327, 459050.00, 300699.00
C     328, 457076.00, 300988.00
C     329, 457011.00, 300633.00
C     330, 457873.00, 300275.00
C     331, 454707.00, 303684.00
C     332, 453859.00, 304193.00
C     333, 458767.00, 299998.00
C     334, 457813.00, 299849.00
C     335, 457280.00, 300238.00
C     336, 457500.00, 299370.00
C     337, 456782.00, 299900.00
C     338, 457413.00, 298766.00
C     401, 457950.00, 305957.00
C     402, 457141.00, 305482.00
C     403, 457162.00, 305118.00
C     404, 457819.00, 306651.00
C     405, 457260.00, 305669.00
C     406, 457733.00, 306160.00
C     407, 458118.00, 306534.00
C     408, 458076.00, 306930.00
C     409, 456620.00, 305167.00
C     410, 456847.00, 305491.00
C     411, 456926.00, 305765.00
C     412, 458361.00, 306763.00
C     413, 456445.00, 305623.00
C     414, 457280.00, 307008.00
C     415, 456492.00, 306362.00
C     416, 456621.00, 305951.00
C     417, 456928.00, 306265.00
C     418, 456458.00, 305887.00
C     419, 458622.00, 307375.00
C     420, 456095.00, 305455.00
C     421, 458050.00, 307580.00
C     422, 455731.00, 305402.00
C     423, 456198.00, 305924.00
C     424, 456810.00, 306860.00
C     425, 457444.00, 307525.00
C     426, 456158.00, 306081.00
C     427, 456171.00, 306175.00
C     428, 456918.00, 307262.00
C     429, 456119.00, 306709.00
C     430, 456562.00, 307114.00
C     431, 454622.00, 304566.00
C     432, 458425.00, 308018.00
C     433, 455564.00, 306093.00
C     434, 457858.00, 308334.00
C     435, 455271.00, 305816.00
C     436, 454920.00, 305112.00
C     437, 455605.00, 306347.00
C     438, 455452.00, 306613.00
C     439, 456504.00, 307864.00
C     440, 457285.00, 307915.00
C     441, 455542.00, 307221.00
C     442, 457758.00, 308689.00
C     443, 456151.00, 307687.00
C     444, 455572.00, 307051.00
C     445, 456487.00, 308475.00
C     446, 457324.00, 309128.00
C     447, 456058.00, 308482.00
C     448, 458031.00, 308992.00
C     449, 457817.00, 309002.00
C     450, 456568.00, 308877.00
C     451, 457545.00, 309927.00
C     452, 456901.00, 309802.00
C    1001, 454107.00, 317223.00
C    1002, 452711.00, 317339.00
C    1003, 453439.00, 316611.00
C    1004, 453524.00, 317901.00
C    1005, 452040.00, 317780.00
C    1006, 453843.00, 318318.00
C    1007, 454563.00, 318770.00
C    1008, 453386.00, 318082.00
C    1009, 454214.00, 318386.00
C    1010, 452941.00, 318357.00
C    1011, 451811.00, 317833.00
C    1012, 454877.00, 319325.00
C    1013, 452517.00, 318093.00
C    1014, 453789.00, 318708.00
C    1015, 453167.00, 318839.00
C    1016, 452802.00, 318540.00
C    1017, 451287.00, 317656.00
C    1018, 452971.00, 318636.00
C    1019, 454089.00, 318964.00
C    1020, 451596.00, 318014.00
C    1021, 451886.00, 318402.00
C    1022, 453176.00, 319108.00
C    1023, 454010.00, 319424.00
C    1024, 452393.00, 318737.00
C    1025, 454293.00, 319527.00
C    1026, 454468.00, 319590.00
C    1027, 455291.00, 320526.00
C    1028, 452039.00, 318675.00
C    1029, 452959.00, 318944.00
C    1030, 452397.00, 319000.00
C    1031, 453695.00, 319305.00
C    1032, 451425.00, 318456.00
C    1033, 450939.00, 318357.00
C    1034, 452772.00, 319226.00
C    1035, 453136.00, 319503.00
C    1036, 453553.00, 319404.00
C    1037, 453668.00, 319433.00
C    1038, 453230.00, 319566.00
C    1039, 454378.00, 320186.00
C    1040, 453896.00, 319674.00
C    1041, 451463.00, 318796.00
C    1042, 454123.00, 319900.00
C    1043, 453634.00, 319568.00
C    1044, 453020.00, 319545.00
C    1045, 452009.00, 319246.00
C    1046, 452698.00, 319514.00
C    1047, 453674.00, 319809.00
C    1048, 453550.00, 319648.00
C    1049, 453304.00, 319791.00
C    1050, 451214.00, 318912.00
C    1051, 453982.00, 320110.00
C    1052, 453513.00, 319859.00
C    1053, 453674.00, 319946.00
C    1054, 451598.00, 319251.00
C    1055, 453125.00, 319885.00
C    1056, 452862.00, 319956.00
C    1057, 453501.00, 319925.00
C    1058, 454142.00, 320357.00
C    1059, 452509.00, 319659.00
C    1060, 450328.00, 318703.00
C    1061, 453103.00, 320213.00
C    1062, 452023.00, 319583.00
C    1063, 453588.00, 320207.00
C    1064, 450715.00, 318935.00
C    1065, 451147.00, 319139.00
C    1066, 452398.00, 319865.00
C    1067, 454326.00, 320464.00
C    1068, 454490.00, 320811.00
C    1069, 451645.00, 319480.00
C    1070, 452531.00, 320185.00
C    1071, 453837.00, 320631.00
C    1072, 453645.00, 320648.00
C    1073, 453189.00, 320663.00
C    1074, 451698.00, 319806.00
C    1075, 453349.00, 320398.00
C    1076, 451913.00, 319936.00
C    1077, 454154.00, 321024.00
C    1078, 452829.00, 320512.00
C    1079, 451146.00, 319819.00
C    1080, 451431.00, 319987.00
C    1081, 452082.00, 320355.00
C    1082, 452431.00, 320553.00
C    1083, 452493.00, 321275.00
C    1084, 452150.00, 321063.00
C    1085, 450618.00, 320287.00
C    1086, 451495.00, 320877.00
C    1087, 451090.00, 320630.00
C    1088, 450597.00, 321735.00
C    1089, 450828.00, 321046.00
C    1101, 459294.00, 310464.00
C    1102, 462465.00, 308895.00
C    1103, 463131.00, 308173.00
C    1104, 462963.00, 309762.00
C    1105, 459284.00, 308467.00
C    1106, 458920.00, 309128.00
C    1107, 461190.00, 309638.00
C    1108, 459595.00, 309336.00
C    1109, 454771.00, 307405.00
C    1110, 461110.00, 308601.00
C    1111, 455218.00, 308845.00
C    1112, 461269.00, 309138.00
C    1113, 462012.00, 308437.00
C    1114, 461890.00, 308733.00
C    1115, 459673.00, 309836.00
C    1116, 458682.00, 309819.00
C    1117, 462089.00, 309074.00
C    1118, 466419.00, 308571.00
C    1119, 454726.00, 308855.00
C    1120, 459020.00, 310145.00
C    1121, 456278.00, 311015.00
C    1122, 458864.00, 310456.00
C    1123, 460135.00, 310822.00
C    1124, 461620.00, 310120.00
C    1125, 459099.00, 311358.00
C    1126, 463935.00, 309765.00
C    1127, 451966.00, 310077.00
C    1128, 461500.00, 310743.00
C    1129, 460702.00, 311342.00
C    1130, 458196.00, 312394.00
C    1131, 461996.00, 310665.00
C    1132, 459751.00, 311436.00
C    1133, 461516.00, 311146.00
C    1134, 460683.00, 311929.00
C    1135, 462779.00, 311088.00
C    1136, 461869.00, 311318.00
C    1137, 462343.00, 311388.00
C    1138, 461540.00, 311526.00
C    1139, 457203.00, 312547.00
C    1140, 461393.00, 312056.00
C    1141, 459072.00, 312811.00
C    1142, 462140.00, 311856.00
